Numero_Ata;UASG_Gerenciadora;Processo_Compra;Modalidade;Data_Assinatura;Vigencia_Inicial;Vigencia_Final;Status_Vigencia;Valor_Total_Ata_R$;Fornecedores_Registrados;Qtd_Itens;Objeto;Link_PNCP
"00081/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90030/2024";"Pregão";"07/01/2025";"10/01/2025";"10/01/2027";"Vigente";"9.118.275,70";"CENTRO DE DISTRIBUICAO E LOGISTICA MAYNARDES LTDA (45.296.313/0001-77)";"1";"aquisição de apetrechos táticos e de campanha, para atender demanda da Diretoria da Força Nacional de Segurança Pública e demais órgão participantes, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"https://pncp.gov.br/app/atas/00394494000136/2024/1197/1"
"00094/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90024/2024";"Pregão";"08/01/2025";"09/01/2025";"09/01/2027";"Vigente";"2.678.598,53";"BRUMO ESPORTES LTDA (51.414.411/0001-64)";"4";"Aquisição de Equipamentos de Atividade Física, para atender demanda da Secretaria Nacional de Segurança Púbica e demais Órgãos Participantes, especificados nos itens 32, 47, 48 e 51 do Termo de Referência (29290108), anexo do Edital do Pregão Eletrônico nº 90024/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/1132/8"
"00090/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90024/2024";"Pregão";"08/01/2025";"09/01/2025";"09/01/2027";"Vigente";"52.445.429,44";"SIGMETAL INDUSTRIA DE EQUIPAMENTOS EM ACOS LTDA (50.937.669/0001-82)";"17";"Aquisição de Equipamentos de Atividade Física, para atender demanda da Secretaria Nacional de Segurança Púbica e demais órgão participantes, especificados nos itens 07 ao 23 do Termo de Referência (29290108), anexo do Edital do Pregão Eletrônico nº 90024/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/1132/6"
"00099/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90024/2024";"Pregão";"07/01/2025";"08/01/2025";"08/01/2027";"Vigente";"397.176,00";"CA COMERCIO DE PRODUTOS LTDA (50.032.992/0001-07)";"1";"Aquisição de Equipamentos de Atividade Física, para atender demanda da Secretaria Nacional de Segurança Púbica e demais órgão participantes, especificados no item 60 do Termo de Referência (29290108), anexo do Edital do Pregão Eletrônico nº 90024/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/1132/5"
"00093/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90024/2024";"Pregão";"07/01/2025";"08/01/2025";"08/01/2027";"Vigente";"25.151.925,98";"SUD COMERCIO E IMPORTACAO LTDA (34.414.691/0001-91)";"5";"Aquisição de Equipamentos de Atividade Física, para atender demanda da Secretaria Nacional de Segurança Púbica e demais órgão participantes, especificados nos itens 1, 2, 54, 55 e 57 do Termo de Referência (29290108), anexo do Edital do Pregão Eletrônico nº 90024/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/1132/3"
"00108/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90027/2024";"Pregão";"07/01/2025";"08/01/2025";"07/01/2027";"Vigente";"6.519.899,86";"GP TRADE COMPANY ELETRONICOS IMPORTACAO E EXPORTACAO LTDA (18.476.349/0001-60)";"1";"O registro de preços para a eventual aquisição de nobreaks 1500 VA, para atender demanda da Secretaria Nacional de Segurança Púbica e demais órgão participantes, especificados no item do  Termo de Referência (29192381), anexo do Edital do Pregão Eletrônico nº 90027/2024, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1096/1"
"00092/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90024/2024";"Pregão";"03/01/2025";"07/01/2025";"07/01/2027";"Vigente";"6.536.106,78";"FONTHORA DISTRIBUIDORA LTDA (55.095.768/0001-88)";"8";"Aquisição de Equipamentos de Atividade Física, para atender demanda da Secretaria Nacional de Segurança Púbica e demais órgão participantes, especificados nos itens 24 ao 31 do Termo de Referência (29290108), anexo do Edital do Pregão Eletrônico nº 90024/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/1132/2"
"00091/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90024/2024";"Pregão";"31/12/2024";"01/01/2025";"01/01/2027";"Vigente";"3.328.254,05";"STAR COMERCIO LTDA (05.252.941/0001-36)";"13";"Aquisição de equipamentos de atividade física, para atender demanda da Secretaria Nacional de Segurança Púbica e demais órgão participantes, especificados nos itens 34, 37, 38, 39, 40, 41, 42, 49, 50, 52, 53, 56 e 58 do Termo de Referência (29290108), anexo do Edital do Pregão Eletrônico nº 90024/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/1132/1"
"00075/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90022/2024";"Pregão";"30/12/2024";"31/01/2024";"31/12/2026";"Vigente";"6.817.944,42";"DIMORVAN DAVI MENEGUSSO LTDA (07.065.479/0001-93) | INSPECT INTELIGENCIA E TECNOLOGIA LTDA (42.224.229/0001-50)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de combate a incêndios florestais, especificado no item 02 do Termo de Referência (29251066), anexo I do edital de Licitação nº 22/2024 (29283387), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/947/3"
"00079/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90038/2024";"Pregão";"30/12/2024";"31/12/2024";"31/12/2026";"Vigente";"120.171.618,00";"3M Global Channel Services, Inc. (3)";"1";"Aquisição de Equipamento Autônomo de Proteção Respiratória, para atender demanda da Secretaria Nacional de Segurança Pública e demais órgão participantes, conforme especificado no Termo de Referência (29263985), anexo I do Edital de Licitação nº 38/2024 (29260963).";"https://pncp.gov.br/app/atas/00394494000136/2024/1102/1"
"00071/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90023/2025";"Pregão";"23/12/2025";"30/12/2025";"30/12/2026";"Vigente";"23.803.286,15";"ULTRAMAR IMPORTACAO LTDA (81.571.010/0001-89) | EQUIPAMENTOS TATICOS DO SUL DO BRASIL LTDA (37.483.573/0001-23)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de Controle de Distúrbio Civil - CDC, especificado no item 01 constante da tabela anexa ao item 1.1 do Termo de Referência (32168732), anexo do Edital do Pregão Eletrônico nº 23/2025 (32171870), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2025/1038/1"
"00073/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"00241/2025";"Inexigibilidade";"24/12/2025";"26/12/2025";"29/12/2026";"Vigente (Prorrogada PNCP)";"1.806.028,50";"DELTA COMERCIO DE EQUIPAMENTOS LTDA (00.202.188/0001-50) | PROMEGA BIOTECNOLOGIA DO BRASIL LTDA. (11.909.227/0001-70)";"2";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de Cartuchos de extração para Plataformas Maxwell, especificados no item 1 do Termo de Referência n° 81/2025 (33911430) que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2025/1524/1"
"00077/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90033/2025";"Pregão";"24/12/2025";"29/12/2025";"29/12/2026";"Vigente";"7.956.000,00";"GUARANY INDUSTRIA E COMERCIO LTDA (61.089.835/0001-54) | TECHBIZ FORENSE DIGITAL LTDA (05.757.597/0002-18)";"1";"A presente Ata tem por objeto o registro de preços para a eventual contratação de Solução de Frameworks Osint para reconhecimento pessoal e organizacional, especificado no item 1 do Termo de Referência, anexo do edital de licitação n.º 90033/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2025/1176/1"
"00076/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90022/2024";"Pregão";"27/12/2024";"28/12/2024";"28/12/2026";"Vigente (Prorrogada PNCP)";"8.797.500,00";"RESGATECNICA COMERCIO DE EQUIPAMENTOS DE RESGATE LTDA (15.453.449/0004-25)";"1";"Aquisição de Equipamentos de Combate a Incêndios Florestais, especificado no item 02 do Termo de Referência (29251066), anexo I do edital de Licitação nº 22/2024 (29283387).";"https://pncp.gov.br/app/atas/00394494000136/2024/947/1"
"00068/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90023/2024";"Pregão";"27/12/2024";"28/12/2024";"27/12/2026";"Vigente";"131.793,73";"RBF DISTRIBUIDORA E SERVICOS LTDA (11.031.398/0001-40) | HPE AUTOMOTORES DO BRASIL LTDA (54.305.743/0011-70)";"2";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de mergulho, busca e salvamento, especificado(s) no(s) item(ns) 11 e 12 do Termo de Referência, anexo I do edital de Licitação nº 23/2024 que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1130/17"
"00064/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90023/2024";"Pregão";"27/12/2024";"28/12/2024";"27/12/2026";"Vigente";"123.092.159,46";"RESGATECNICA COMERCIO DE EQUIPAMENTOS DE RESGATE LTDA (15.453.449/0001-82) | S.O.S SUL RESGATE - COMERCIO E SERVICOS DE SEGURANCA E SINALIZACAO LTDA (03.928.511/0001-66)";"8";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de mergulho, busca e salvamento, especificado(s) no(s) item(ns) 1 a 4 do grupo 1 e 16, 23, 29 e 36 do Termo de Referência, anexo I do edital de Licitação nº 23/2024 que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1130/10"
"00069/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90023/2024";"Pregão";"26/12/2024";"27/12/2024";"26/12/2026";"Vigente";"708.942,78";"SUPORTE COMERCIAL ATACADISTA LTDA (10.907.265/0001-21) | H2G COMERCIAL DE ETIQUETAS E PAPEIS LTDA (32.316.475/0001-88)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de mergulho, busca e salvamento, especificado(s) no(s) item(ns) 13 do Termo de Referência, anexo I do edital de Licitação nº 23/2024 que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1130/8"
"00070/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90023/2024";"Pregão";"26/12/2024";"27/12/2024";"26/12/2026";"Vigente";"3.245.711,24";"INOVA EQUIPAMENTOS DE RESGATE LTDA. (44.542.555/0001-30) | QIAGEN BIOTECNOLOGIA BRASIL LTDA. (01.334.250/0003-92)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de mergulho, busca e salvamento, especificado(s) no(s) item(ns) 15 do Termo de Referência, anexo I do edital de Licitação nº 23/2024 que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1130/9"
